City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,La Ronge,CA,2021-09-22 19:33:25,55.1001,-105.2842,288.29,55,75,2.06
272,Russell,US,2021-09-22 19:31:40,32.3502,-85.1999,299.75,72,75,9.26
273,College,US,2021-09-22 19:33:26,64.8569,-147.8028,272.96,80,75,2.57
274,Tiznit,MA,2021-09-22 19:33:26,29.5833,-9.5,291.18,82,100,2.17
275,Taltal,CL,2021-09-22 19:30:20,-25.4,-70.4833,290.82,62,1,2.94
276,Krugersdorp,ZA,2021-09-22 19:33:27,-26.0858,27.7752,290.23,67,52,3.12
277,Pouebo,NC,2021-09-22 19:33:27,-20.4,164.5667,292.34,76,51,3.26
278,Puerto Suarez,BO,2021-09-22 19:33:28,-18.95,-57.8,306.46,51,0,0.0
279,Khasan,RU,2021-09-22 19:33:28,42.4308,130.6434,289.67,76,93,5.91
280,Ziduri,RO,2021-09-22 19:33:28,45.3,27.0833,284.57,64,94,4.66
281,Auki,SB,2021-09-22 19:33:29,-8.7676,160.7034,298.3,83,94,1.69
282,Ancud,CL,2021-09-22 19:33:29,-41.8697,-73.8203,287.27,84,99,6.81
283,Candido Mendes,BR,2021-09-22 19:33:29,-1.4467,-45.7167,301.63,68,99,3.77
284,Itumba,TZ,2021-09-22 19:33:30,-9.4,33.1833,289.84,68,3,2.92
285,Krasnyy Chikoy,RU,2021-09-22 19:33:30,50.3643,108.7512,278.4,97,100,2.58
286,General Roca,AR,2021-09-22 19:33:30,-39.0333,-67.5833,295.37,21,0,6.79
287,Sioux Lookout,CA,2021-09-22 19:33:31,50.1001,-91.917,293.19,45,20,4.63
288,Maamba,ZM,2021-09-22 19:33:31,-17.3667,27.15,295.6,34,6,1.59
289,Belaya Gora,RU,2021-09-22 19:33:31,68.5333,146.4167,271.59,76,61,1.21
290,Lake City,US,2021-09-22 19:33:32,30.1897,-82.6393,304.68,70,40,2.57
291,Emmett,US,2021-09-22 19:33:32,43.8735,-116.4993,301.28,13,91,5.29
292,Burns Lake,CA,2021-09-22 19:33:32,54.2331,-125.7533,284.83,36,6,6.31
293,Oksfjord,NO,2021-09-22 19:33:33,70.2396,22.3479,285.25,89,100,2.48
