City_ID,City,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Description
312,Ponta Do Sol,32.6667,-17.1,72.72,73,59,2.01,broken clouds
313,Zunyi,27.6867,106.9072,67.35,89,0,1.52,clear sky
314,Eirunepe,-6.6603,-69.8736,83.26,66,97,2.71,overcast clouds
315,Tezu,27.9167,96.1667,77.45,72,54,4.21,broken clouds
316,Kangaatsiaq,68.3065,-53.4641,24.26,49,0,10.51,clear sky
317,Jaguarao,-32.5661,-53.3758,65.44,76,1,7.83,clear sky
318,King City,36.2127,-121.126,65.28,19,10,6.2,clear sky
319,Kununurra,-15.7667,128.7333,67.98,77,83,3.44,broken clouds
320,Nizhniy Kuranakh,58.8353,125.4869,39.47,87,100,5.84,light rain
321,Kashi,39.4547,75.9797,67.21,26,0,13.42,clear sky
322,Kysyl-Syr,63.8986,122.7617,29.48,88,100,7.65,overcast clouds
323,Harnosand,62.6323,17.9379,48.99,86,78,8.5,broken clouds
324,Dakar,14.6937,-17.4441,82.53,89,0,2.3,clear sky
325,Belaya Gora,68.5333,146.4167,32.41,97,100,17.56,light snow
326,Nara,34.6851,135.8049,67.32,74,94,5.32,overcast clouds
327,Shahr-E Babak,30.1165,55.1186,73.17,10,0,14.5,clear sky
328,Luena,-11.7833,19.9167,65.03,48,50,4.07,scattered clouds
329,Mediesu Aurit,47.7833,23.15,57.78,81,40,4.16,scattered clouds
330,Olkhovatka,50.2831,39.2872,48.16,80,80,15.1,broken clouds
331,Gawler,-34.6,138.7333,58.24,42,100,10.22,overcast clouds
332,Ilulissat,69.2167,-51.1,21.22,49,0,3.44,clear sky
333,Kuching,1.55,110.3333,77.22,94,40,2.3,scattered clouds
334,Brae,60.3964,-1.353,55.31,96,100,22.86,overcast clouds
335,Mount Isa,-20.7333,139.5,67.77,18,0,1.14,clear sky
336,Sarab,38.6066,44.9883,56.26,35,0,2.42,clear sky
337,Sao Joao Da Barra,-21.6403,-41.0511,75.29,80,2,19.62,clear sky
338,Guiyang,26.5833,106.7167,64.89,88,20,2.24,light rain
339,Fallon,39.4735,-118.7774,87.42,12,1,0.0,clear sky
340,Batagay-Alyta,67.8006,130.4114,23.63,87,60,4.23,broken clouds
341,Bershet,57.7309,56.3783,42.06,95,100,14.18,overcast clouds
342,Mehamn,71.0357,27.8492,48.38,76,0,17.27,clear sky
343,Salinopolis,-0.6136,-47.3561,80.92,76,100,14.16,overcast clouds
344,Alta,69.9689,23.2717,49.26,72,0,4.0,clear sky
345,Sao Gabriel,-30.3364,-54.32,70.97,66,0,4.43,clear sky
346,La Ligua,-32.4524,-71.2311,71.38,58,4,7.58,clear sky
347,Oda,35.1833,132.5,66.07,90,9,6.11,clear sky
348,Kribi,2.95,9.9167,76.95,88,100,4.56,overcast clouds
349,Dzaoudzi,-12.7887,45.2699,75.09,73,0,5.75,clear sky
350,Bowen,-20.0167,148.2333,59.22,90,30,8.12,scattered clouds
351,Bulaevo,54.9056,70.4439,33.53,75,14,13.09,few clouds
